"","gencodeID","Symbol","logFC","t","P.Value","adj.P.Val","B","ensemblID","Length","gene_type","EntrezID","AveExpr"
"ENSMUSG00000037321.17","ENSMUSG00000037321.17","Tap1",3.98708465744067,16.5436107589515,8.24561944287553e-08,8.80653205423154e-05,8.81078661020079,"ENSMUSG00000037321",5476,"protein_coding",21354,4.77398188011667
"ENSMUSG00000074896.3","ENSMUSG00000074896.3","Ifit3",3.39204751912245,16.4683066778933,8.56570660228671e-08,8.80653205423154e-05,8.76121257364085,"ENSMUSG00000074896",1745,"protein_coding",15959,5.33573453164179
"ENSMUSG00000002325.14","ENSMUSG00000002325.14","Irf9",2.57888478288398,16.4563746213042,8.61768321808492e-08,8.80653205423154e-05,8.76098379533138,"ENSMUSG00000002325",5386,"protein_coding",16391,4.75534371989806
"ENSMUSG00000073411.11","ENSMUSG00000073411.11","H2-D1",3.49911859601098,16.445071441689,8.66724441037203e-08,8.80653205423154e-05,8.67164666590165,"ENSMUSG00000073411",2579,"protein_coding",14964,7.50776144967807
"ENSMUSG00000036887.5","ENSMUSG00000036887.5","C1qa",2.83864440522476,16.3940257082901,8.89505260751648e-08,8.80653205423154e-05,8.66304997001438,"ENSMUSG00000036887",1040,"protein_coding",12259,6.55351062735513
"ENSMUSG00000030830.18","ENSMUSG00000030830.18","Itgal",4.32174908404631,17.1532765683129,6.09367270191754e-08,8.80653205423154e-05,8.60655143704642,"ENSMUSG00000030830",6569,"protein_coding",16408,1.47183103097307
"ENSMUSG00000070327.14","ENSMUSG00000070327.14","Rnf213",3.29821912902579,16.226428306491,9.69118865494141e-08,8.80653205423154e-05,8.55758431253331,"ENSMUSG00000070327",16888,"protein_coding",672511,7.18147679803013
"ENSMUSG00000078921.3","ENSMUSG00000078921.3","Tgtp2",4.82113408883309,16.0436760682839,1.06509275752476e-07,8.80653205423154e-05,8.52317004590581,"ENSMUSG00000078921",2938,"protein_coding",100039796,3.71616414292232
"ENSMUSG00000033880.11","ENSMUSG00000033880.11","Lgals3bp",3.04431848341205,15.9771285116645,1.10263138739887e-07,8.80653205423154e-05,8.49952060308233,"ENSMUSG00000033880",2847,"protein_coding",19039,5.37051236677024
"ENSMUSG00000026979.16","ENSMUSG00000026979.16","Psd4",3.06205396121113,16.1321633515808,1.01736277480411e-07,8.80653205423154e-05,8.4677712057131,"ENSMUSG00000026979",11786,"protein_coding",215632,2.35582640304119
"ENSMUSG00000063268.12","ENSMUSG00000063268.12","Parp10",3.24718159906629,15.8831399154332,1.15818255041633e-07,8.80653205423154e-05,8.45122761822774,"ENSMUSG00000063268",4275,"protein_coding",671535,3.17486438625586
"ENSMUSG00000074151.13","ENSMUSG00000074151.13","Nlrc5",4.2668551142988,15.601192278644,1.34441339154829e-07,8.80653205423154e-05,8.32540099994529,"ENSMUSG00000074151",8493,"protein_coding",434341,4.63453815255522
"ENSMUSG00000061232.15","ENSMUSG00000061232.15","H2-K1",3.64392381565666,15.7411957193073,1.24807760585624e-07,8.80653205423154e-05,8.31159819949915,"ENSMUSG00000061232",2608,"protein_coding",14972,7.19239093607994
"ENSMUSG00000060550.15","ENSMUSG00000060550.15","H2-Q7",4.2849571194709,15.5640233224669,1.37135973617715e-07,8.80653205423154e-05,8.26979032512778,"ENSMUSG00000060550",4265,"protein_coding",15018,3.19776336149685
"ENSMUSG00000049502.16","ENSMUSG00000049502.16","Dtx3l",2.88408793182834,15.4273169436914,1.47576490072345e-07,8.80653205423154e-05,8.2302804585798,"ENSMUSG00000049502",5724,"protein_coding",209200,4.24794024816437
"ENSMUSG00000036896.5","ENSMUSG00000036896.5","C1qc",2.52773806780339,15.4586206911821,1.45109912311576e-07,8.80653205423154e-05,8.16862273736072,"ENSMUSG00000036896",1931,"protein_coding",12262,6.07941084888897
"ENSMUSG00000018899.16","ENSMUSG00000018899.16","Irf1",3.22331489164061,15.3097923052588,1.57262077145596e-07,8.80653205423154e-05,8.16221502558456,"ENSMUSG00000018899",3976,"protein_coding",16362,4.65817911801683
"ENSMUSG00000073418.4","ENSMUSG00000073418.4","C4b",3.91466523653466,15.3483064744644,1.54012203320326e-07,8.80653205423154e-05,8.02597042179698,"ENSMUSG00000073418",5695,"protein_coding",12268,8.38040995115197
"ENSMUSG00000004266.15","ENSMUSG00000004266.15","Ptpn6",2.79274685113691,15.0458936422014,1.81695511394291e-07,8.80653205423154e-05,8.02556332662708,"ENSMUSG00000004266",2802,"protein_coding",15170,3.5472072634455
"ENSMUSG00000054072.11","ENSMUSG00000054072.11","Iigp1",4.81840981167619,15.027357671157,1.83564272840802e-07,8.80653205423154e-05,8.00611372073499,"ENSMUSG00000054072",3121,"protein_coding",60440,5.51485438373228
"ENSMUSG00000097194.2","ENSMUSG00000097194.2","9330175E14Rik",3.71984406561372,15.6850154937617,1.28578044096587e-07,8.80653205423154e-05,7.98025719272212,"ENSMUSG00000097194",5938,"lincRNA",NA,1.06089831482151
"ENSMUSG00000040033.15","ENSMUSG00000040033.15","Stat2",2.17339406001381,15.049613066098,1.81323081317499e-07,8.80653205423154e-05,7.97585863156657,"ENSMUSG00000040033",4397,"protein_coding",20847,5.21396389294905
"ENSMUSG00000034422.14","ENSMUSG00000034422.14","Parp14",3.53991804569982,14.8986679116892,1.97143787136773e-07,8.80653205423154e-05,7.9296738344302,"ENSMUSG00000034422",9306,"protein_coding",547253,4.96073089139764
"ENSMUSG00000020143.15","ENSMUSG00000020143.15","Dock2",2.69303825586835,14.8635813320286,2.010374813535e-07,8.80653205423154e-05,7.91419445946818,"ENSMUSG00000020143",11425,"protein_coding",94176,4.36801468244771
"ENSMUSG00000104713.4","ENSMUSG00000104713.4","Gbp6",4.23135963713802,14.8427908857726,2.03384999413638e-07,8.80653205423154e-05,7.90171068772699,"ENSMUSG00000104713",5954,"protein_coding",100702,3.40994392615001
"ENSMUSG00000032596.14","ENSMUSG00000032596.14","Uba7",3.39997681482398,14.8251856952468,2.05396717049973e-07,8.80653205423154e-05,7.89906708414187,"ENSMUSG00000032596",6692,"protein_coding",74153,4.36399907132764
"ENSMUSG00000035929.11","ENSMUSG00000035929.11","H2-Q4",4.07060977398829,14.8110771648617,2.07024858629914e-07,8.80653205423154e-05,7.89104898183946,"ENSMUSG00000035929",2596,"protein_coding",15015,4.78220752752941
"ENSMUSG00000063286.7","ENSMUSG00000063286.7","Gm8995",2.98296435498895,14.8050246818563,2.07727718815215e-07,8.80653205423154e-05,7.89014227388417,"ENSMUSG00000063286",7433,"transcribed_unprocessed_pseudogene",NA,4.11479792613239
"ENSMUSG00000030124.2","ENSMUSG00000030124.2","Lag3",2.88665019002541,14.8496979805226,2.02601730929549e-07,8.80653205423154e-05,7.88640559564702,"ENSMUSG00000030124",2109,"protein_coding",16768,2.59578054039338
"ENSMUSG00000064267.13","ENSMUSG00000064267.13","Hvcn1",2.49461342518915,14.7919236750933,2.09258216427394e-07,8.80653205423154e-05,7.87226403357769,"ENSMUSG00000064267",3563,"protein_coding",74096,2.91332322807958
"ENSMUSG00000034459.8","ENSMUSG00000034459.8","Ifit1",4.17140390347696,14.7382981185673,2.15654996472632e-07,8.80653205423154e-05,7.85644449128527,"ENSMUSG00000034459",2656,"protein_coding",15957,3.82160203792521
"ENSMUSG00000031838.7","ENSMUSG00000031838.7","Ifi30",2.70283030068883,14.8069940908926,2.07498725201572e-07,8.80653205423154e-05,7.85359915140854,"ENSMUSG00000031838",980,"protein_coding",65972,2.44064704235067
"ENSMUSG00000004707.14","ENSMUSG00000004707.14","Ly9",3.89577637850775,15.0147008415516,1.84852593513997e-07,8.80653205423154e-05,7.8347552933351,"ENSMUSG00000004707",3307,"protein_coding",17085,1.98835171346757
"ENSMUSG00000021998.16","ENSMUSG00000021998.16","Lcp1",2.52435267089876,14.745721778522,2.14756623626621e-07,8.80653205423154e-05,7.82410296672036,"ENSMUSG00000021998",9504,"protein_coding",18826,4.90786732542978
"ENSMUSG00000046805.9","ENSMUSG00000046805.9","Mpeg1",2.87885233070807,14.7887289391529,2.09633334365936e-07,8.80653205423154e-05,7.79139845719383,"ENSMUSG00000046805",4335,"protein_coding",17476,6.24089508822331
"ENSMUSG00000036905.8","ENSMUSG00000036905.8","C1qb",2.47681512117811,14.7930119744014,2.09130601581682e-07,8.80653205423154e-05,7.78535358196912,"ENSMUSG00000036905",1088,"protein_coding",12260,6.06437015458893
"ENSMUSG00000030789.9","ENSMUSG00000030789.9","Itgax",3.95685358966607,14.8828960026794,1.98883580196157e-07,8.80653205423154e-05,7.7834125892917,"ENSMUSG00000030789",4803,"protein_coding",16411,1.96930756254582
"ENSMUSG00000002699.13","ENSMUSG00000002699.13","Lcp2",2.19103940850288,14.574152961613,2.36627224268792e-07,9.01351949846237e-05,7.76434102601604,"ENSMUSG00000002699",4459,"protein_coding",16822,3.24475225354651
"ENSMUSG00000029298.15","ENSMUSG00000029298.15","Gbp9",3.36205173238271,14.5842587857364,2.35272460408086e-07,9.01351949846237e-05,7.75091571200538,"ENSMUSG00000029298",5173,"protein_coding",236573,4.82940362525155
"ENSMUSG00000082292.3","ENSMUSG00000082292.3","Gm12250",5.92191054378142,14.6759047185756,2.23372921136944e-07,8.96709769004835e-05,7.68867647113303,"ENSMUSG00000082292",1274,"processed_pseudogene",NA,2.43876134740034
"ENSMUSG00000024338.14","ENSMUSG00000024338.14","Psmb8",3.83290148973694,14.4351589111628,2.56168410055303e-07,9.33438275716902e-05,7.68328542919973,"ENSMUSG00000024338",2736,"protein_coding",16913,4.12263934789496
"ENSMUSG00000033220.6","ENSMUSG00000033220.6","Rac2",3.24069848017281,14.5459086234835,2.40459834076155e-07,9.01351949846237e-05,7.6765722721854,"ENSMUSG00000033220",3036,"protein_coding",19354,2.31940570058514
"ENSMUSG00000039264.9","ENSMUSG00000039264.9","Gimap3",4.86202530679986,15.0287953393816,1.83418567498678e-07,8.80653205423154e-05,7.66560101211792,"ENSMUSG00000039264",2577,"protein_coding",83408,1.53030418358454
"ENSMUSG00000073491.10","ENSMUSG00000073491.10","Ifi213",5.32199765269121,15.1842970174374,1.6839262050698e-07,8.80653205423154e-05,7.66509289247892,"ENSMUSG00000073491",6839,"protein_coding",623121,1.54828872258294
"ENSMUSG00000048852.13","ENSMUSG00000048852.13","Gm12185",6.06773125207729,15.0118437853833,1.851447988254e-07,8.80653205423154e-05,7.64883065482033,"ENSMUSG00000048852",5587,"protein_coding",620913,1.4011602641998
"ENSMUSG00000030966.13","ENSMUSG00000030966.13","Trim21",2.92320799464783,14.3393377763937,2.706839183571e-07,9.49849537143757e-05,7.63104050872292,"ENSMUSG00000030966",3714,"protein_coding",20821,3.44937865480376
"ENSMUSG00000024308.14","ENSMUSG00000024308.14","Tapbp",2.07579306664284,14.5234459991853,2.43557208318172e-07,9.01351949846237e-05,7.62601605309715,"ENSMUSG00000024308",3296,"protein_coding",21356,5.93207949528902
"ENSMUSG00000024079.4","ENSMUSG00000024079.4","Eif2ak2",2.29433648351516,14.3880850346188,2.63188260413666e-07,9.44486961802678e-05,7.62122798823246,"ENSMUSG00000024079",5113,"protein_coding",19106,4.64606475275525
"ENSMUSG00000043263.13","ENSMUSG00000043263.13","Ifi209",3.97561227353898,14.5350936522078,2.41945608550787e-07,9.01351949846237e-05,7.56376478404771,"ENSMUSG00000043263",3547,"protein_coding",236312,1.76109283424644
"ENSMUSG00000064215.13","ENSMUSG00000064215.13","Ifi27",2.30810981787953,14.2667606600832,2.82287573062387e-07,9.68982777968497e-05,7.51487158099922,"ENSMUSG00000064215",1467,"protein_coding",52668,5.28654431270081
"ENSMUSG00000055413.12","ENSMUSG00000055413.12","H2-Q5",4.47383727455992,14.7389938697876,2.15570622982606e-07,8.80653205423154e-05,7.51029116688305,"ENSMUSG00000055413",1591,"polymorphic_pseudogene",15016,1.13496204809853
"ENSMUSG00000033355.6","ENSMUSG00000033355.6","Rtp4",3.81203580329317,14.1397254495656,3.0395356942243e-07,0.000102805023172383,7.50977113224505,"ENSMUSG00000033355",2131,"protein_coding",67775,3.05013846900304
"ENSMUSG00000020641.15","ENSMUSG00000020641.15","Rsad2",3.07770967462126,13.9521604085113,3.39403816727928e-07,0.000108864847437534,7.40701479941616,"ENSMUSG00000020641",4328,"protein_coding",58185,3.22849771951146
"ENSMUSG00000024399.5","ENSMUSG00000024399.5","Ltb",3.54369419085577,14.7920688896633,2.09241183443971e-07,8.80653205423154e-05,7.39649992285339,"ENSMUSG00000024399",1516,"protein_coding",16994,0.730281124202436
"ENSMUSG00000018654.17","ENSMUSG00000018654.17","Ikzf1",2.45757415331187,13.9256226243539,3.44780936482232e-07,0.000108864847437534,7.39109012564756,"ENSMUSG00000018654",5777,"protein_coding",22778,3.05966936712343
"ENSMUSG00000069793.11","ENSMUSG00000069793.11","Slfn9",3.91739390263423,14.0490325412458,3.20552339724655e-07,0.000105448363421923,7.32673475495457,"ENSMUSG00000069793",4726,"protein_coding",237886,1.82256590896524
"ENSMUSG00000020437.12","ENSMUSG00000020437.12","Myo1g",3.43132247735873,14.116139720592,3.08176341365388e-07,0.000102805023172383,7.32601340838646,"ENSMUSG00000020437",6957,"protein_coding",246177,1.54486445894833
"ENSMUSG00000039899.5","ENSMUSG00000039899.5","Fgl2",3.40380299832365,13.5644575697725,4.28214208665126e-07,0.000123431050009592,7.17254664488817,"ENSMUSG00000039899",3788,"protein_coding",14190,3.76522357516005
"ENSMUSG00000024339.12","ENSMUSG00000024339.12","Tap2",2.88094858672519,13.6399023138691,4.09082961363082e-07,0.000122647214428919,7.1701347826513,"ENSMUSG00000024339",3781,"protein_coding",21355,4.79092244283716
"ENSMUSG00000022901.13","ENSMUSG00000022901.13","Cd86",2.55963807784954,13.5479135751148,4.3254112698929e-07,0.000123431050009592,7.16606567539103,"ENSMUSG00000022901",3661,"protein_coding",12524,2.9093144363841
"ENSMUSG00000035273.14","ENSMUSG00000035273.14","Hpse",3.98911447696835,13.7980546146407,3.71986438770769e-07,0.000112955112849816,7.12168134429097,"ENSMUSG00000035273",3516,"protein_coding",15442,1.70878019789265
"ENSMUSG00000068227.8","ENSMUSG00000068227.8","Il2rb",4.52316802787839,13.9060851066747,3.48800193080291e-07,0.000108864847437534,7.11855071650638,"ENSMUSG00000068227",2785,"protein_coding",16185,1.27281076976833
"ENSMUSG00000040296.15","ENSMUSG00000040296.15","Ddx58",2.50882466317578,13.4796615583365,4.50912863619338e-07,0.000126285908694959,7.0873461888638,"ENSMUSG00000040296",7050,"protein_coding",230073,4.28726238745099
"ENSMUSG00000063388.4","ENSMUSG00000063388.4","BC023105",5.16723346664592,13.7991945280431,3.71733010557611e-07,0.000112955112849816,7.04771434207773,"ENSMUSG00000063388",1227,"pseudogene",NA,1.46905775514098
"ENSMUSG00000024670.16","ENSMUSG00000024670.16","Cd6",4.49170004003679,14.3264615677134,2.72703265888856e-07,9.49849537143757e-05,7.01230926299675,"ENSMUSG00000024670",3404,"protein_coding",12511,-0.224138562541636
"ENSMUSG00000073555.1","ENSMUSG00000073555.1","Gm4951",4.34266441932795,13.287618719189,5.0743168346567e-07,0.000139750225847493,7.00087555843652,"ENSMUSG00000073555",2645,"protein_coding",240327,4.15622209655557
"ENSMUSG00000078763.2","ENSMUSG00000078763.2","Slfn1",5.43251965925022,15.1489284916125,1.71685910682552e-07,8.80653205423154e-05,6.99185657366163,"ENSMUSG00000078763",1864,"protein_coding",20555,-0.604196690793631
"ENSMUSG00000037849.8","ENSMUSG00000037849.8","Ifi206",5.53030877910684,14.9718722495467,1.89287235074658e-07,8.80653205423154e-05,6.96957439443915,"ENSMUSG00000037849",3054,"protein_coding",102639543,-0.408600419669786
"ENSMUSG00000037921.15","ENSMUSG00000037921.15","Ddx60",3.4919340551735,13.2304702675304,5.25739089595866e-07,0.000141561299708647,6.96168416265256,"ENSMUSG00000037921",8684,"protein_coding",234311,3.92719178726275
"ENSMUSG00000029561.17","ENSMUSG00000029561.17","Oasl2",4.35944209164966,13.1801288838077,5.42475362377711e-07,0.000141561299708647,6.9253930016445,"ENSMUSG00000029561",6374,"protein_coding",23962,4.40127259708587
"ENSMUSG00000022906.15","ENSMUSG00000022906.15","Parp9",2.86058745250899,13.1988269957722,5.36190919743704e-07,0.000141561299708647,6.92383011254647,"ENSMUSG00000022906",4872,"protein_coding",80285,4.06003110450043
"ENSMUSG00000030577.13","ENSMUSG00000030577.13","Cd22",3.7757623814223,13.4713419706871,4.53210987505657e-07,0.000126285908694959,6.9200177085669,"ENSMUSG00000030577",4987,"protein_coding",12483,1.29722021679877
"ENSMUSG00000075010.4","ENSMUSG00000075010.4","AW112010",3.80111749064707,13.1759476708082,5.43891841819165e-07,0.000141561299708647,6.90275015483279,"ENSMUSG00000075010",770,"lincRNA",NA,2.29600381270933
"ENSMUSG00000057143.15","ENSMUSG00000057143.15","Trim12c",2.48012704150504,13.1210993740294,5.62858603725832e-07,0.000143252852901716,6.89231933499847,"ENSMUSG00000057143",3740,"protein_coding",319236,3.50963507008966
"ENSMUSG00000025492.6","ENSMUSG00000025492.6","Ifitm3",2.74328568810499,13.1139997948974,5.653669459054e-07,0.000143252852901716,6.8662349483929,"ENSMUSG00000025492",678,"protein_coding",66141,4.11326685444576
"ENSMUSG00000072620.3","ENSMUSG00000072620.3","Slfn2",3.61739698268785,13.0822088572041,5.76752350255249e-07,0.000143252852901716,6.84014350214762,"ENSMUSG00000072620",1664,"protein_coding",20556,2.15716848132852
"ENSMUSG00000037649.9","ENSMUSG00000037649.9","H2-DMa",1.8317341566341,13.0857630335423,5.75466916107601e-07,0.000143252852901716,6.83394873922387,"ENSMUSG00000037649",1641,"protein_coding",14998,4.15064854464108
"ENSMUSG00000047735.14","ENSMUSG00000047735.14","Samd9l",2.78033052714167,13.0715343425849,5.80632209354645e-07,0.000143252852901716,6.79818192749455,"ENSMUSG00000047735",5427,"protein_coding",209086,4.85310207062265
"ENSMUSG00000079363.7","ENSMUSG00000079363.7","Gbp4",4.71156338994387,12.9574206039311,6.23971895783231e-07,0.000147787743516258,6.78557861728574,"ENSMUSG00000079363",7494,"protein_coding",17472,4.51082789372582
"ENSMUSG00000071068.6","ENSMUSG00000071068.6","Treml2",3.62819024419931,13.5820799998198,4.23658085166961e-07,0.000123431050009592,6.7818354784851,"ENSMUSG00000071068",4509,"protein_coding",328833,0.415334958140277
"ENSMUSG00000022488.8","ENSMUSG00000022488.8","Nckap1l",1.88194495027759,13.0394658034635,5.92463682588782e-07,0.000144045235695552,6.74438404758438,"ENSMUSG00000022488",4717,"protein_coding",105855,5.03490420392229
"ENSMUSG00000030921.17","ENSMUSG00000030921.17","Trim30a",3.22563320653241,12.8512311892099,6.6755081063608e-07,0.000153504281067141,6.70907845176679,"ENSMUSG00000030921",4111,"protein_coding",20128,4.00944492417186
"ENSMUSG00000028859.14","ENSMUSG00000028859.14","Csf3r",2.4571730995882,12.7759016984593,7.00514597623624e-07,0.000158725282911487,6.669677101073,"ENSMUSG00000028859",3609,"protein_coding",12986,3.54505457708072
"ENSMUSG00000034330.10","ENSMUSG00000034330.10","Plcg2",1.95559097515782,12.7689234300491,7.03658632286516e-07,0.000158725282911487,6.65191660856182,"ENSMUSG00000034330",4298,"protein_coding",234779,3.62013108460515
"ENSMUSG00000010358.13","ENSMUSG00000010358.13","Ifi35",2.80153236358587,12.672294646358,7.48845278805225e-07,0.000159096802775749,6.62366700425258,"ENSMUSG00000010358",1727,"protein_coding",70110,2.7760755228345
"ENSMUSG00000040247.5","ENSMUSG00000040247.5","Tbc1d10c",3.03127340126292,12.8973671772274,6.48214858103423e-07,0.000152009593209699,6.6202540527937,"ENSMUSG00000040247",1758,"protein_coding",108995,1.28270215720272
"ENSMUSG00000018819.10","ENSMUSG00000018819.10","Lsp1",2.13921640397959,12.653411490261,7.58047064671325e-07,0.000159096802775749,6.61042018017228,"ENSMUSG00000018819",5174,"protein_coding",16985,2.75293544777971
"ENSMUSG00000022587.14","ENSMUSG00000022587.14","Ly6e",1.58533707076615,13.0026659961858,6.06371982957071e-07,0.000145069903195336,6.60840623164323,"ENSMUSG00000022587",3784,"protein_coding",17069,6.40189057127008
"ENSMUSG00000031103.12","ENSMUSG00000031103.12","Elf4",2.35894550852957,12.6953643734054,7.37771364433895e-07,0.000159096802775749,6.60230863979954,"ENSMUSG00000031103",6148,"protein_coding",56501,1.6862714829424
"ENSMUSG00000053541.3","ENSMUSG00000053541.3","Gm4759",3.94446797464624,12.8605037630267,6.63613717367281e-07,0.000153504281067141,6.59579102204881,"ENSMUSG00000053541",6622,"unprocessed_pseudogene",NA,1.23944837484804
"ENSMUSG00000066258.13","ENSMUSG00000066258.13","Trim12a",2.75279146565638,12.6601408860356,7.5475349349078e-07,0.000159096802775749,6.59392279004489,"ENSMUSG00000066258",5781,"protein_coding",76681,3.58718109435841
"ENSMUSG00000052142.15","ENSMUSG00000052142.15","Rasal3",2.60171803028261,12.5993883256747,7.85073799695611e-07,0.00016029718056716,6.57636988355849,"ENSMUSG00000052142",4897,"protein_coding",320484,2.81770635542805
"ENSMUSG00000052160.6","ENSMUSG00000052160.6","Pld4",2.20181937222761,12.6603418818086,7.54655364839589e-07,0.000159096802775749,6.56997513628484,"ENSMUSG00000052160",1978,"protein_coding",104759,3.89047365808838
"ENSMUSG00000024300.16","ENSMUSG00000024300.16","Myo1f",2.60826695598901,12.5535281469239,8.08858246023902e-07,0.000162354301331153,6.53309827088472,"ENSMUSG00000024300",4914,"protein_coding",17916,3.33871555379685
"ENSMUSG00000032094.7","ENSMUSG00000032094.7","Cd3d",4.58972952603711,13.9035594861915,3.49323555214379e-07,0.000108864847437534,6.52538734103243,"ENSMUSG00000032094",1323,"protein_coding",12500,-0.80191094168442
"ENSMUSG00000056116.18","ENSMUSG00000056116.18","H2-T22",1.91151111734926,12.6689257514916,7.50477810363836e-07,0.000159096802775749,6.47278385095387,"ENSMUSG00000056116",3414,"protein_coding",15039,5.32194402893167
"ENSMUSG00000000682.7","ENSMUSG00000000682.7","Cd52",4.11776443609638,12.5152533738199,8.29322263244548e-07,0.000162935147635118,6.47220647368073,"ENSMUSG00000000682",1187,"protein_coding",23833,2.07955473392143
"ENSMUSG00000029605.16","ENSMUSG00000029605.16","Oas1b",3.80080413382632,12.5290526426181,8.21878775468392e-07,0.000162935147635118,6.422194994557,"ENSMUSG00000029605",1992,"polymorphic_pseudogene",23961,1.25364929058584
"ENSMUSG00000047250.13","ENSMUSG00000047250.13","Ptgs1",1.49419589403484,12.5084832812489,8.33001487499688e-07,0.000162935147635118,6.42199287363113,"ENSMUSG00000047250",3884,"protein_coding",19224,4.37649552057703
"ENSMUSG00000026070.15","ENSMUSG00000026070.15","Il18r1",5.41220122628414,13.5479070642384,4.32542839383412e-07,0.000123431050009592,6.39583147839049,"ENSMUSG00000026070",4817,"protein_coding",16182,-0.444221278606522
"ENSMUSG00000026395.16","ENSMUSG00000026395.16","Ptprc",3.24572467183549,12.3704364259111,9.12121765130286e-07,0.000170107118166227,6.36055082842451,"ENSMUSG00000026395",18313,"protein_coding",19264,4.62794928687113
"ENSMUSG00000024349.9","ENSMUSG00000024349.9","Tmem173",2.02436331675121,12.2294540577961,1.00163698105943e-06,0.000181097495392311,6.33624783380509,"ENSMUSG00000024349",2302,"protein_coding",72512,2.32723119217712
"ENSMUSG00000092021.8","ENSMUSG00000092021.8","Gbp11",3.15318845629646,12.2473912800356,9.8972390315911e-07,0.000180320081894796,6.33008470128215,"ENSMUSG00000092021",2692,"polymorphic_pseudogene",634650,1.92620664570544
"ENSMUSG00000035692.6","ENSMUSG00000035692.6","Isg15",3.89197971433229,12.272207278069,9.73500870142359e-07,0.000178739287669161,6.31128867753675,"ENSMUSG00000035692",756,"protein_coding",100038882,1.60055632815282
"ENSMUSG00000068129.5","ENSMUSG00000068129.5","Cst7",5.4743115643083,12.6377779163315,7.65760418679981e-07,0.000159096802775749,6.29297715178319,"ENSMUSG00000068129",986,"protein_coding",13011,0.815368012390217
"ENSMUSG00000024621.15","ENSMUSG00000024621.15","Csf1r",1.67839961872309,12.6129183648164,7.78205913703414e-07,0.000160276583183177,6.29275412345001,"ENSMUSG00000024621",4885,"protein_coding",12978,7.16101899178058
"ENSMUSG00000037731.5","ENSMUSG00000037731.5","Themis2",2.65512272666224,12.2059758740605,1.01747141965603e-06,0.000182566746776917,6.28917284669569,"ENSMUSG00000037731",3079,"protein_coding",230787,1.66000070930991
